INSERT INTO animales (id_animal,nombre_animal,nombre_cientifico,familia,genero,especie,orden,clase,peligro_extincion)
('13046','3E','46','Hembra','America','Mexico','Herbívoro','2007'),
('13047','3E','47','Macho','America','Estados Unidos','Herbívoro','2021'),
('13048','3E','48','Hembra','America','Estados Unidos','Herbívoro','2014'),
('13049','3E','49','Macho','America','Estados Unidos','Herbívoro','2015'),
('13050','3E','50','Hembra','America','Mexico','Herbívoro','2024'),
('13051','3E','51','Macho','America','Estados Unidos','Herbívoro','2016'),
('13052','3E','52','Macho','America','Estados Unidos','Herbívoro','2023'),
('13053','3E','53','Macho','America','Canada','Herbívoro','2010'),
('13054','3E','54','Macho','America','Estados Unidos','Herbívoro','2013'),
('13055','3E','55','Macho','America','Estados Unidos','Herbívoro','2017'),
('13056','3E','56','Hembra','America','Canada','Herbívoro','2024'),
('13057','3E','57','Hembra','America','Mexico','Herbívoro','2001'),
('13058','3E','58','Macho','America','Estados Unidos','Herbívoro','2020'),
('13059','3E','59','Hembra','America','Mexico','Herbívoro','2018'),
('13060','3E','60','Macho','America','Canada','Herbívoro','2021'),
('13061','3E','61','Macho','America','Canada','Herbívoro','2023'),
('13062','3E','62','Macho','America','Estados Unidos','Herbívoro','2018'),
('13063','3E','63','Hembra','America','Mexico','Herbívoro','2019'),
('13064','3E','64','Hembra','America','Canada','Herbívoro','2024'),
('13065','3E','65','Hembra','America','Estados Unidos','Herbívoro','2019'),
('13066','3E','66','Hembra','America','Canada','Herbívoro','2006'),
('13067','3E','1','Macho','America','Canada','Herbívoro','2012'),
('13068','3E','2','Macho','America','Estados Unidos','Herbívoro','2021'),
('13069','3E','3','Hembra','America','Mexico','Herbívoro','2024'),
('13070','3E','4','Hembra','America','Estados Unidos','Herbívoro','2000'),
('13071','3E','5','Macho','America','Estados Unidos','Herbívoro','2019'),
('13072','3E','6','Hembra','America','Estados Unidos','Herbívoro','2020'),
('13073','3E','7','Macho','America','Mexico','Herbívoro','2021'),
('13074','3E','8','Hembra','America','Canada','Herbívoro','2012'),
('13075','3E','9','Macho','America','Estados Unidos','Herbívoro','2018'),
('13076','3E','10','Macho','America','Estados Unidos','Herbívoro','2022'),
('13077','3E','11','Macho','America','Canada','Herbívoro','2013'),
('13078','3E','12','Hembra','America','Estados Unidos','Herbívoro','2006'),
('13079','3E','13','Hembra','America','Mexico','Herbívoro','2012'),
('13080','3E','14','Hembra','America','Canada','Herbívoro','2012'),
('13081','3E','15','Hembra','America','Canada','Herbívoro','2016'),
('13082','3E','16','Hembra','America','Canada','Herbívoro','2012'),
('13083','3E','17','Hembra','America','Estados Unidos','Herbívoro','2022'),
('13084','3E','18','Macho','America','Mexico','Herbívoro','2021'),
('13085','3E','19','Macho','America','Mexico','Herbívoro','2011'),
('13086','3E','20','Macho','America','Estados Unidos','Herbívoro','2009'),
('13087','3E','21','Hembra','America','Estados Unidos','Herbívoro','2001'),
('13088','3E','22','Macho','America','Mexico','Herbívoro','2010'),
('13089','3E','23','Hembra','America','Canada','Herbívoro','2011'),
('13090','3E','24','Hembra','America','Mexico','Herbívoro','2015'),
('13091','3E','25','Hembra','America','Canada','Herbívoro','2012'),
('13092','3E','26','Macho','America','Estados Unidos','Herbívoro','2017'),
('13093','3E','27','Macho','America','Mexico','Herbívoro','2019'),
('13094','3E','28','Hembra','America','Estados Unidos','Herbívoro','2016'),
('13095','3E','29','Macho','America','Mexico','Herbívoro','2001'),
('13096','3E','30','Hembra','America','Estados Unidos','Herbívoro','2014'),
('13097','3E','31','Macho','America','Mexico','Herbívoro','2018'),
('13098','3E','32','Macho','America','Mexico','Herbívoro','2017'),
('13099','3E','33','Hembra','America','Estados Unidos','Herbívoro','2013'),
('13100','3E','34','Macho','America','Canada','Herbívoro','2007'),
('13101','3E','35','Macho','America','Canada','Herbívoro','2009'),
('13102','3E','36','Hembra','America','Estados Unidos','Herbívoro','2005'),
('13103','3E','37','Hembra','America','Estados Unidos','Herbívoro','2017'),
('13104','3E','38','Macho','America','Estados Unidos','Herbívoro','2022'),
('13105','3E','39','Hembra','America','Canada','Herbívoro','2006'),
('13106','3E','40','Hembra','America','Estados Unidos','Herbívoro','2003'),
('13107','3E','41','Hembra','America','Estados Unidos','Herbívoro','2018'),
('13108','3E','42','Macho','America','Mexico','Herbívoro','2010'),
('13109','3E','43','Macho','America','Mexico','Herbívoro','2006'),
('13110','3E','44','Macho','America','Estados Unidos','Herbívoro','2009'),
('13111','3E','45','Hembra','America','Canada','Herbívoro','2008'),
('13112','3E','46','Macho','America','Canada','Herbívoro','2000'),
('13113','3E','47','Hembra','America','Mexico','Herbívoro','2016'),
('13114','3E','48','Macho','America','Canada','Herbívoro','2004'),
('13115','3E','49','Hembra','America','Mexico','Herbívoro','2011'),
('13116','3E','50','Hembra','America','Mexico','Herbívoro','2011'),
('13117','3E','51','Hembra','America','Estados Unidos','Herbívoro','2010'),
('13118','3E','52','Hembra','America','Canada','Herbívoro','2020'),
('13119','3E','53','Hembra','America','Estados Unidos','Herbívoro','2018'),
('13120','3E','54','Hembra','America','Mexico','Herbívoro','2023'),
('13121','3E','55','Macho','America','Mexico','Herbívoro','2020'),
('13122','3E','56','Macho','America','Mexico','Herbívoro','2000'),
('13123','3E','57','Hembra','America','Canada','Herbívoro','2005'),
('13124','3E','58','Hembra','America','Estados Unidos','Herbívoro','2008'),
('13125','3E','59','Hembra','America','Mexico','Herbívoro','2018'),
('13126','3E','60','Macho','America','Estados Unidos','Herbívoro','2007'),
('13127','3E','61','Macho','America','Mexico','Herbívoro','2008'),
('13128','3E','62','Hembra','America','Canada','Herbívoro','2005'),
('13129','3E','63','Macho','America','Estados Unidos','Herbívoro','2013'),
('13130','3E','64','Hembra','America','Canada','Herbívoro','2014'),
('13131','3E','65','Hembra','America','Canada','Herbívoro','2005'),
('13132','3E','66','Hembra','America','Canada','Herbívoro','2004'),
('13133','3E','1','Hembra','America','Estados Unidos','Herbívoro','2010'),
('13134','3E','2','Macho','America','Estados Unidos','Herbívoro','2011'),
('13135','3E','3','Hembra','America','Canada','Herbívoro','2007'),
('13136','3E','4','Macho','America','Mexico','Herbívoro','2012'),
('13137','3E','5','Hembra','America','Estados Unidos','Herbívoro','2006'),
('13138','3E','6','Hembra','America','Mexico','Herbívoro','2014'),
('13139','3E','7','Hembra','America','Estados Unidos','Herbívoro','2018'),
('13140','3E','8','Hembra','America','Estados Unidos','Herbívoro','2013'),
('13141','3E','9','Macho','America','Estados Unidos','Herbívoro','2015'),
('13142','3E','10','Macho','America','Estados Unidos','Herbívoro','2001'),
('13143','3E','11','Hembra','America','Estados Unidos','Herbívoro','2010'),
('13144','3E','12','Macho','America','Mexico','Herbívoro','2008'),
('13145','3E','13','Macho','America','Estados Unidos','Herbívoro','2010'),
('13146','3E','14','Macho','America','Canada','Herbívoro','2016'),
('13147','3E','15','Macho','America','Canada','Herbívoro','2015'),
('13148','3E','16','Macho','America','Canada','Herbívoro','2002'),
('13149','3E','17','Hembra','America','Canada','Herbívoro','2013'),
('13150','3E','18','Hembra','America','Mexico','Herbívoro','2010'),
('13151','3E','19','Macho','America','Mexico','Herbívoro','2022'),
('13152','3E','20','Macho','America','Mexico','Herbívoro','2012'),
('13153','3E','21','Macho','America','Canada','Herbívoro','2015'),
('13154','3E','22','Hembra','America','Estados Unidos','Herbívoro','2012'),
('13155','3E','23','Macho','America','Mexico','Herbívoro','2024'),
('13156','3E','24','Macho','America','Estados Unidos','Herbívoro','2019'),
('13157','3E','25','Macho','America','Estados Unidos','Herbívoro','2006'),
('13158','3E','26','Hembra','America','Mexico','Herbívoro','2015'),
('13159','3E','27','Hembra','America','Canada','Herbívoro','2015'),
('13160','3E','28','Hembra','America','Estados Unidos','Herbívoro','2000'),
('13161','3E','29','Hembra','America','Mexico','Herbívoro','2024'),
('13162','3E','30','Macho','America','Canada','Herbívoro','2011'),
('13163','3E','31','Macho','America','Mexico','Herbívoro','2001'),
('13164','3E','32','Hembra','America','Canada','Herbívoro','2000'),
('13165','3E','33','Hembra','America','Canada','Herbívoro','2021'),
('13166','3E','34','Macho','America','Mexico','Herbívoro','2020'),
('13167','3E','35','Hembra','America','Estados Unidos','Herbívoro','2005'),
('13168','3E','36','Hembra','America','Mexico','Herbívoro','2015'),
('13169','3E','37','Macho','America','Canada','Herbívoro','2011'),
('13170','3E','38','Hembra','America','Canada','Herbívoro','2011'),
('13171','3E','39','Macho','America','Estados Unidos','Herbívoro','2009'),
('13172','3E','40','Macho','America','Mexico','Herbívoro','2002'),
('13173','3E','41','Macho','America','Canada','Herbívoro','2000'),
('13174','3E','42','Hembra','America','Canada','Herbívoro','2017'),
('13175','3E','43','Macho','America','Mexico','Herbívoro','2024'),
('13176','3E','44','Hembra','America','Mexico','Herbívoro','2024'),
('13177','3E','45','Hembra','America','Canada','Herbívoro','2007'),
('13178','3E','46','Hembra','America','Mexico','Herbívoro','2018'),
('13179','3E','47','Macho','America','Estados Unidos','Herbívoro','2024'),
('13180','3E','48','Macho','America','Mexico','Herbívoro','2018'),
('13181','3E','49','Macho','America','Estados Unidos','Herbívoro','2012'),
('13182','3E','50','Hembra','America','Canada','Herbívoro','2007'),
('13183','3E','51','Hembra','America','Mexico','Herbívoro','2023'),
('13184','3E','52','Hembra','America','Canada','Herbívoro','2023'),
('13185','3E','53','Hembra','America','Canada','Herbívoro','2019'),
('13186','3E','54','Macho','America','Canada','Herbívoro','2006'),
('13187','3E','55','Hembra','America','Estados Unidos','Herbívoro','2012'),
('13188','3E','56','Hembra','America','Mexico','Herbívoro','2004'),
('13189','3E','57','Macho','America','Estados Unidos','Herbívoro','2007'),
('13190','3E','58','Hembra','America','Estados Unidos','Herbívoro','2011'),
('13191','3E','59','Macho','America','Estados Unidos','Herbívoro','2015'),
('13192','3E','60','Hembra','America','Canada','Herbívoro','2000'),
('13193','3E','61','Hembra','America','Canada','Herbívoro','2017'),
('13194','3E','62','Hembra','America','Mexico','Herbívoro','2017'),
('13195','3E','63','Macho','America','Estados Unidos','Herbívoro','2016'),
('13196','3E','64','Hembra','America','Canada','Herbívoro','2013'),
('13197','3E','65','Hembra','America','Estados Unidos','Herbívoro','2013'),
('13198','3E','66','Macho','America','Canada','Herbívoro','2003'),
('13199','3E','1','Hembra','America','Canada','Herbívoro','2024'),
('13200','3E','2','Hembra','America','Estados Unidos','Herbívoro','2001'),
('13201','3E','3','Hembra','America','Mexico','Herbívoro','2024'),
('13202','3E','4','Macho','America','Canada','Herbívoro','2006'),
('13203','3E','5','Hembra','America','Canada','Herbívoro','2019'),
('13204','3E','6','Macho','America','Estados Unidos','Herbívoro','2018'),
('13205','3E','7','Macho','America','Estados Unidos','Herbívoro','2002'),
('13206','3E','8','Hembra','America','Canada','Herbívoro','2018'),
('13207','3E','9','Macho','America','Mexico','Herbívoro','2004'),
('13208','3E','10','Macho','America','Canada','Herbívoro','2010'),
('13209','3E','11','Macho','America','Mexico','Herbívoro','2000'),
('13210','3E','12','Hembra','America','Mexico','Herbívoro','2004'),
('13211','3E','13','Hembra','America','Estados Unidos','Herbívoro','2020'),
('13212','3E','14','Macho','America','Estados Unidos','Herbívoro','2014'),
('13213','3E','15','Hembra','America','Mexico','Herbívoro','2000'),
('13214','3E','16','Macho','America','Estados Unidos','Herbívoro','2002'),
('13215','3E','17','Macho','America','Canada','Herbívoro','2023'),
('13216','3E','18','Macho','America','Estados Unidos','Herbívoro','2005'),
('13217','3E','19','Macho','America','Estados Unidos','Herbívoro','2013'),
('13218','3E','20','Hembra','America','Mexico','Herbívoro','2022'),
('13219','3E','21','Macho','America','Estados Unidos','Herbívoro','2002'),
('13220','3E','22','Macho','America','Estados Unidos','Herbívoro','2005'),
('13221','3E','23','Macho','America','Mexico','Herbívoro','2014'),
('13222','3E','24','Hembra','America','Mexico','Herbívoro','2010'),
('13223','3E','25','Macho','America','Canada','Herbívoro','2014'),
('13224','3E','26','Macho','America','Canada','Herbívoro','2024'),
('13225','3E','27','Hembra','America','Mexico','Herbívoro','2000'),
('13226','3E','28','Hembra','America','Canada','Herbívoro','2000'),
('13227','3E','29','Hembra','America','Estados Unidos','Herbívoro','2006'),
('13228','3E','30','Hembra','America','Estados Unidos','Herbívoro','2005'),
('13229','3E','31','Macho','America','Mexico','Herbívoro','2005'),
('13230','3E','32','Hembra','America','Canada','Herbívoro','2013'),
('13231','3E','33','Macho','America','Mexico','Herbívoro','2013'),
('13232','3E','34','Hembra','America','Canada','Herbívoro','2010'),
('13233','3E','35','Hembra','America','Mexico','Herbívoro','2009'),
('13234','3E','36','Macho','America','Canada','Herbívoro','2018'),
('13235','3E','37','Macho','America','Canada','Herbívoro','2020'),
('13236','3E','38','Macho','America','Estados Unidos','Herbívoro','2007'),
('13237','3E','39','Macho','America','Estados Unidos','Herbívoro','2018'),
('13238','3E','40','Hembra','America','Estados Unidos','Herbívoro','2023'),
('13239','3E','41','Hembra','America','Canada','Herbívoro','2012'),
('13240','3E','42','Macho','America','Mexico','Herbívoro','2022'),
('13241','3E','43','Hembra','America','Estados Unidos','Herbívoro','2011'),
('13242','3E','44','Macho','America','Canada','Herbívoro','2018'),
('13243','3E','45','Macho','America','Mexico','Herbívoro','2020'),
('13244','3E','46','Hembra','America','Mexico','Herbívoro','2005'),
('13245','3E','47','Macho','America','Estados Unidos','Herbívoro','2023'),
('13246','3E','48','Hembra','America','Mexico','Herbívoro','2008'),
('13247','3E','49','Macho','America','Canada','Herbívoro','2007'),
('13248','3E','50','Hembra','America','Estados Unidos','Herbívoro','2004'),
('13249','3E','51','Macho','America','Mexico','Herbívoro','2020'),
('13250','3E','52','Macho','America','Estados Unidos','Herbívoro','2011'),
('13251','3E','53','Hembra','America','Estados Unidos','Herbívoro','2017'),
('13252','3E','54','Hembra','America','Estados Unidos','Herbívoro','2000'),
('13253','3E','55','Hembra','America','Mexico','Herbívoro','2023'),
('13254','3E','56','Macho','America','Canada','Herbívoro','2016'),
('13255','3E','57','Macho','America','Estados Unidos','Herbívoro','2016'),
('13256','3E','58','Hembra','America','Mexico','Herbívoro','2014'),
('13257','3E','59','Macho','America','Estados Unidos','Herbívoro','2023'),
('13258','3E','60','Macho','America','Canada','Herbívoro','2002'),
('13259','3E','61','Hembra','America','Estados Unidos','Herbívoro','2024'),
('13260','3E','62','Macho','America','Mexico','Herbívoro','2006'),
('13261','3E','63','Macho','America','Mexico','Herbívoro','2017'),
('13262','3E','64','Macho','America','Canada','Herbívoro','2009'),
('13263','3E','65','Macho','America','Canada','Herbívoro','2024'),
('13264','3E','66','Hembra','America','Mexico','Herbívoro','2022'),
('13265','3E','1','Macho','America','Estados Unidos','Herbívoro','2019'),
('13266','3E','2','Hembra','America','Mexico','Herbívoro','2001'),
('13267','3E','3','Hembra','America','Canada','Herbívoro','2006'),
('13268','3E','4','Macho','America','Canada','Herbívoro','2006'),
('13269','3E','5','Macho','America','Estados Unidos','Herbívoro','2014'),
('13270','3E','6','Macho','America','Mexico','Herbívoro','2011'),
('13271','3E','7','Macho','America','Mexico','Herbívoro','2023'),
('13272','3E','8','Macho','America','Estados Unidos','Herbívoro','2019'),
('13273','3E','9','Macho','America','Estados Unidos','Herbívoro','2006'),
('13274','3E','10','Macho','America','Canada','Herbívoro','2019'),
('13275','3E','11','Macho','America','Mexico','Herbívoro','2009'),
('13276','3E','12','Hembra','America','Estados Unidos','Herbívoro','2014'),
('13277','3E','13','Hembra','America','Canada','Herbívoro','2004'),
('13278','3E','14','Hembra','America','Mexico','Herbívoro','2011'),
('13279','3E','15','Hembra','America','Canada','Herbívoro','2022'),
('13280','3E','16','Hembra','America','Canada','Herbívoro','2023'),
('13281','3E','17','Hembra','America','Estados Unidos','Herbívoro','2013'),
('13282','3E','18','Macho','America','Mexico','Herbívoro','2022'),
('13283','3E','19','Macho','America','Estados Unidos','Herbívoro','2000'),
('13284','3E','20','Hembra','America','Canada','Herbívoro','2003'),
('13285','3E','21','Hembra','America','Canada','Herbívoro','2012'),
('13286','3E','22','Macho','America','Mexico','Herbívoro','2008'),
('13287','3E','23','Hembra','America','Canada','Herbívoro','2019'),
('13288','3E','24','Hembra','America','Estados Unidos','Herbívoro','2017'),
('13289','3E','25','Hembra','America','Mexico','Herbívoro','2015'),
('13290','3E','26','Macho','America','Canada','Herbívoro','2007'),
('13291','3E','27','Macho','America','Estados Unidos','Herbívoro','2020'),
('13292','3E','28','Macho','America','Mexico','Herbívoro','2017'),
('13293','3E','29','Hembra','America','Mexico','Herbívoro','2018'),
('13294','3E','30','Macho','America','Estados Unidos','Herbívoro','2009'),
('13295','3E','31','Hembra','America','Mexico','Herbívoro','2014'),
('13296','3E','32','Hembra','America','Estados Unidos','Herbívoro','2021'),
('13297','3E','33','Macho','America','Estados Unidos','Herbívoro','2020'),
('13298','3E','34','Macho','America','Mexico','Herbívoro','2012'),
('13299','3E','35','Hembra','America','Mexico','Herbívoro','2005'),
('13300','3E','36','Macho','America','Mexico','Herbívoro','2015'),
('13301','3E','37','Macho','America','Canada','Herbívoro','2022'),
('13302','3E','38','Hembra','America','Canada','Herbívoro','2015'),
('13303','3E','39','Macho','America','Estados Unidos','Herbívoro','2000'),
('13304','3E','40','Macho','America','Mexico','Herbívoro','2018'),
('13305','3E','41','Hembra','America','Estados Unidos','Herbívoro','2000'),
('13306','3E','42','Hembra','America','Canada','Herbívoro','2007'),
('13307','3E','43','Macho','America','Estados Unidos','Herbívoro','2014'),
('13308','3E','44','Hembra','America','Mexico','Herbívoro','2017'),
('13309','3E','45','Macho','America','Canada','Herbívoro','2017'),
('13310','3E','46','Hembra','America','Mexico','Herbívoro','2007'),
('13311','3E','47','Macho','America','Estados Unidos','Herbívoro','2006'),
('13312','3E','48','Macho','America','Mexico','Herbívoro','2013'),
('13313','3E','49','Hembra','America','Estados Unidos','Herbívoro','2018'),
('13314','3E','50','Macho','America','Canada','Herbívoro','2024'),
('13315','3E','51','Macho','America','Canada','Herbívoro','2021'),
('13316','3E','52','Hembra','America','Estados Unidos','Herbívoro','2018'),
('13317','3E','53','Macho','America','Estados Unidos','Herbívoro','2005'),
('13318','3E','54','Hembra','America','Estados Unidos','Herbívoro','2021'),
('13319','3E','55','Hembra','America','Estados Unidos','Herbívoro','2024'),
('13320','3E','56','Macho','America','Canada','Herbívoro','2021'),
('13321','3E','57','Hembra','America','Estados Unidos','Herbívoro','2018'),
('13322','3E','58','Macho','America','Estados Unidos','Herbívoro','2015'),
('13323','3E','59','Macho','America','Mexico','Herbívoro','2010'),
('13324','3E','60','Macho','America','Mexico','Herbívoro','2010'),
('13325','3E','61','Hembra','America','Estados Unidos','Herbívoro','2019'),
('13326','3E','62','Macho','America','Mexico','Herbívoro','2011'),
('13327','3E','63','Macho','America','Mexico','Herbívoro','2011'),
('13328','3E','64','Macho','America','Mexico','Herbívoro','2002'),
('13329','3E','65','Macho','America','Mexico','Herbívoro','2002'),
('13330','3E','66','Macho','America','Estados Unidos','Herbívoro','2023'),
('13331','3E','1','Hembra','America','Canada','Herbívoro','2023'),
('13332','3E','2','Hembra','America','Mexico','Herbívoro','2011'),
('13333','3E','3','Hembra','America','Canada','Herbívoro','2021'),
('13334','3E','4','Hembra','America','Canada','Herbívoro','2001'),
('13335','3E','5','Macho','America','Mexico','Herbívoro','2000'),
('13336','3E','6','Macho','America','Mexico','Herbívoro','2019'),
('13337','3E','7','Macho','America','Mexico','Herbívoro','2002'),
('13338','3E','8','Macho','America','Canada','Herbívoro','2006'),
('13339','3E','9','Macho','America','Canada','Herbívoro','2006'),
('13340','3E','10','Macho','America','Mexico','Herbívoro','2017'),
('13341','3E','11','Hembra','America','Mexico','Herbívoro','2002'),
('13342','3E','12','Hembra','America','Estados Unidos','Herbívoro','2013'),
('13343','3E','13','Macho','America','Estados Unidos','Herbívoro','2016'),
('13344','3E','14','Hembra','America','Estados Unidos','Herbívoro','2019'),
('13345','3E','15','Hembra','America','Canada','Herbívoro','2011'),
('13346','3E','16','Hembra','America','Canada','Herbívoro','2013'),
('13347','3E','17','Macho','America','Mexico','Herbívoro','2020'),
('13348','3E','18','Macho','America','Mexico','Herbívoro','2008'),
('13349','3E','19','Hembra','America','Canada','Herbívoro','2003'),
('13350','3E','20','Hembra','America','Mexico','Herbívoro','2002'),
('13351','3E','21','Macho','America','Canada','Herbívoro','2003'),
('13352','3E','22','Hembra','America','Canada','Herbívoro','2011'),
('13353','3E','23','Macho','America','Canada','Herbívoro','2023'),
('13354','3E','24','Hembra','America','Canada','Herbívoro','2015'),
('13355','3E','25','Hembra','America','Canada','Herbívoro','2020'),
('13356','3E','26','Hembra','America','Mexico','Herbívoro','2003'),
('13357','3E','27','Hembra','America','Canada','Herbívoro','2006'),
('13358','3E','28','Macho','America','Estados Unidos','Herbívoro','2001'),
('13359','3E','29','Hembra','America','Mexico','Herbívoro','2024'),
('13360','3E','30','Macho','America','Canada','Herbívoro','2012'),
('13361','3E','31','Hembra','America','Mexico','Herbívoro','2014'),
('13362','3E','32','Hembra','America','Mexico','Herbívoro','2015'),
('13363','3E','33','Macho','America','Canada','Herbívoro','2015'),
('13364','3E','34','Macho','America','Mexico','Herbívoro','2005'),
('13365','3E','35','Hembra','America','Estados Unidos','Herbívoro','2013'),
('13366','3E','36','Hembra','America','Estados Unidos','Herbívoro','2001'),
('13367','3E','37','Hembra','America','Mexico','Herbívoro','2014'),
('13368','3E','38','Hembra','America','Mexico','Herbívoro','2023'),
('13369','3E','39','Macho','America','Canada','Herbívoro','2018'),
('13370','3E','40','Macho','America','Mexico','Herbívoro','2010'),
('13371','3E','41','Hembra','America','Canada','Herbívoro','2012'),
('13372','3E','42','Macho','America','Mexico','Herbívoro','2019'),
('13373','3E','43','Hembra','America','Estados Unidos','Herbívoro','2013'),
('13374','3E','44','Hembra','America','Canada','Herbívoro','2008'),
('13375','3E','45','Hembra','America','Canada','Herbívoro','2014'),
('13376','3E','46','Hembra','America','Canada','Herbívoro','2000'),
('13377','3E','47','Macho','America','Canada','Herbívoro','2011'),
('13378','3E','48','Hembra','America','Estados Unidos','Herbívoro','2024'),
('13379','3E','49','Hembra','America','Canada','Herbívoro','2013'),
('13380','3E','50','Hembra','America','Estados Unidos','Herbívoro','2016'),
('13381','3E','51','Hembra','America','Estados Unidos','Herbívoro','2017'),
('13382','3E','52','Hembra','America','Mexico','Herbívoro','2013'),
('13383','3E','53','Hembra','America','Canada','Herbívoro','2008'),
('13384','3E','54','Macho','America','Estados Unidos','Herbívoro','2010'),
('13385','3E','55','Hembra','America','Estados Unidos','Herbívoro','2008'),
('13386','3E','56','Hembra','America','Mexico','Herbívoro','2008'),
('13387','3E','57','Hembra','America','Mexico','Herbívoro','2023'),
('13388','3E','58','Hembra','America','Estados Unidos','Herbívoro','2002'),
('13389','3E','59','Hembra','America','Estados Unidos','Herbívoro','2007'),
('13390','3E','60','Macho','America','Estados Unidos','Herbívoro','2003'),
('13391','3E','61','Hembra','America','Canada','Herbívoro','2018'),
('13392','3E','62','Hembra','America','Mexico','Herbívoro','2013'),
('13393','3E','63','Macho','America','Mexico','Herbívoro','2019'),
('13394','3E','64','Macho','America','Estados Unidos','Herbívoro','2013'),
('13395','3E','65','Hembra','America','Mexico','Herbívoro','2018'),
('13396','3E','66','Hembra','America','Estados Unidos','Herbívoro','2000'),
('13397','3E','1','Macho','America','Estados Unidos','Herbívoro','2017'),
('13398','3E','2','Macho','America','Estados Unidos','Herbívoro','2018'),
('13399','3E','3','Macho','America','Estados Unidos','Herbívoro','2003'),
('13400','3E','4','Macho','America','Mexico','Herbívoro','2021'),
('13401','3E','5','Macho','America','Canada','Herbívoro','2009'),
('13402','3E','6','Macho','America','Canada','Herbívoro','2002'),
('13403','3E','7','Macho','America','Mexico','Herbívoro','2020'),
('13404','3E','8','Hembra','America','Mexico','Herbívoro','2000'),
('13405','3E','9','Macho','America','Estados Unidos','Herbívoro','2003'),
('13406','3E','10','Hembra','America','Canada','Herbívoro','2005'),
('13407','3E','11','Hembra','America','Estados Unidos','Herbívoro','2009'),
('13408','3E','12','Macho','America','Canada','Herbívoro','2003'),
('13409','3E','13','Macho','America','Estados Unidos','Herbívoro','2008'),
('13410','3E','14','Macho','America','Canada','Herbívoro','2004'),
('13411','3E','15','Macho','America','Estados Unidos','Herbívoro','2020'),
('13412','3E','16','Macho','America','Estados Unidos','Herbívoro','2003'),
('13413','3E','17','Macho','America','Mexico','Herbívoro','2006'),
('13414','3E','18','Macho','America','Mexico','Herbívoro','2020'),
