INSERT INTO coche (Id_coche,id_cliente,matricula,marca,color,transmision,marca_neumaticos)
VALUES
('1', '3149', 'CAU-683', 'Bentley', 'Plateado', 'automatico', 'Brigdestone'),
('51', '3116', 'EQL-338', 'Dodge', 'Crema', 'estandar', 'Michelin'),
('52', '1604', 'YKR-798', 'Bentley', 'Dorado', 'estandar', 'Michelin'),
('53', '1130', 'MIX-318', 'Toyota', 'Crema', 'estandar', 'Michelin'),
('54', '1446', 'RST-938', 'Hyundai', 'Dorado', 'automatico', 'Dunlop'),
('55', '1383', 'QAO-392', 'Renault', 'Violeta', 'estandar', 'Pirelli'),
('56', '1507', 'CXO-912', 'Lamborguini', 'Crema', 'estandar', 'Michelin'),
('57', '243', 'SQR-343', 'Land Rover', 'Plateado', 'estandar', 'Dunlop'),
('58', '2677', 'FSB-169', 'Bentley', 'Cian', 'estandar', 'Continental'),
('59', '354', 'AMZ-264', 'Chrysler', 'Crema', 'estandar', 'Pirelli'),
('60', '4980', 'MEW-606', 'Hyundai', 'Plateado', 'automatico', 'Continental'),
('61', '4679', 'DYM-598', 'Audi', 'Borgoña', 'estandar', 'Continental'),
('62', '802', 'UIZ-117', 'Tesla', 'Plateado', 'estandar', 'Dunlop'),
('63', '796', 'PEF-367', 'Maserati', 'Borgoña', 'automatico', 'Continental'),
('64', '747', 'HJQ-431', 'Volkswagen', 'Violeta', 'automatico', 'Continental'),
('65', '3249', 'XIO-436', 'SSC', 'Crema', 'automatico', 'Pirelli'),
('66', '4312', 'YNW-317', 'Jeep', 'Borgoña', 'automatico', 'Pirelli'),
('67', '3071', 'QZW-033', 'Mazda', 'Dorado', 'estandar', 'Continental'),
('68', '3056', 'CQS-360', 'Kia', 'Borgoña', 'estandar', 'Brigdestone'),
('69', '4056', 'GAO-339', 'BMW', 'Borgoña', 'estandar', 'Brigdestone'),
('70', '2137', 'CDU-303', 'BMW', 'Violeta', 'estandar', 'Pirelli'),
('71', '1697', 'APJ-860', 'Rimac', 'Borgoña', 'automatico', 'Dunlop'),
('72', '1237', 'RVP-311', 'Bentley', 'Cian', 'estandar', 'Brigdestone'),
('73', '189', 'DSV-067', 'BMW', 'Plateado', 'estandar', 'Michelin'),
('74', '3357', 'BPK-673', 'Alfa Romeo', 'Crema', 'automatico', 'Dunlop'),
('75', '1903', 'UQD-822', 'Cadillac', 'Crema', 'automatico', 'Pirelli'),
('76', '4998', 'EEF-557', 'Lamborguini', 'Borgoña', 'automatico', 'Dunlop'),
('77', '1832', 'TUY-887', 'Audi', 'Crema', 'automatico', 'Michelin'),
('78', '1442', 'UYN-943', 'Subaru', 'Crema', 'automatico', 'Continental'),
('79', '2258', 'VHU-628', 'Jeep', 'Plateado', 'estandar', 'Dunlop'),
('80', '2000', 'OWE-566', 'Audi', 'Plateado', 'automatico', 'Brigdestone'),
('81', '4932', 'VXH-504', 'Nissan', 'Dorado', 'estandar', 'Dunlop'),
('82', '4959', 'RJI-768', 'Hyundai', 'Violeta', 'estandar', 'Michelin'),
('83', '1296', 'HZC-967', 'BMW', 'Dorado', 'automatico', 'Continental'),
('84', '4141', 'SGR-190', 'Maserati', 'Violeta', 'estandar', 'Continental'),
('85', '1804', 'QTO-099', 'Rimac', 'Violeta', 'estandar', 'Michelin'),
('86', '4255', 'POR-073', 'Lamborguini', 'Borgoña', 'automatico', 'Pirelli'),
('87', '2534', 'KWY-372', 'Subaru', 'Dorado', 'estandar', 'Pirelli'),
('88', '1845', 'YTH-889', 'Mazda', 'Dorado', 'estandar', 'Brigdestone'),
('89', '233', 'VIX-264', 'Peugeot', 'Borgoña', 'estandar', 'Dunlop'),
('90', '186', 'ACY-617', 'Jaguar', 'Crema', 'automatico', 'Dunlop'),
('91', '4044', 'EBE-871', 'Maserati', 'Dorado', 'estandar', 'Pirelli'),
('92', '176', 'TXZ-068', 'Subaru', 'Borgoña', 'estandar', 'Pirelli'),
('93', '4662', 'COD-091', 'Chevrolet', 'Cian', 'automatico', 'Pirelli'),
('94', '4752', 'TSQ-197', 'Chevrolet', 'Plateado', 'automatico', 'Michelin'),
('95', '1471', 'BEL-297', 'Koenigsegg', 'Dorado', 'estandar', 'Dunlop'),
('96', '2745', 'AGQ-641', 'Chevrolet', 'Crema', 'automatico', 'Pirelli'),
('97', '2005', 'DQO-839', 'Chrysler', 'Dorado', 'estandar', 'Dunlop'),
('98', '1089', 'OBT-582', 'Nissan', 'Plateado', 'estandar', 'Dunlop'),
('99', '4789', 'YLO-060', 'Subaru', 'Crema', 'estandar', 'Brigdestone'),
('100', '3079', 'SHT-513', 'Chrysler', 'Crema', 'automatico', 'Dunlop'),
('101', '1278', 'VMR-773', 'Volkswagen', 'Cian', 'automatico', 'Dunlop'),
('102', '2292', 'RHQ-750', 'Porsche', 'Borgoña', 'estandar', 'Dunlop'),
('103', '3746', 'HPH-366', 'Mazda', 'Violeta', 'automatico', 'Pirelli'),
('104', '2025', 'AYN-457', 'Hyundai', 'Violeta', 'estandar', 'Michelin'),
('105', '60', 'HMR-285', 'Honda', 'Dorado', 'automatico', 'Pirelli'),
('106', '2716', 'KRN-788', 'Toyota', 'Plateado', 'estandar', 'Continental'),
('107', '59', 'QEO-933', 'Alfa Romeo', 'Crema', 'estandar', 'Continental'),
('108', '232', 'LUQ-495', 'SSC', 'Cian', 'estandar', 'Continental'),
('109', '3899', 'EBU-273', 'Mercedes-Benz', 'Plateado', 'automatico', 'Pirelli'),
('110', '597', 'FMM-797', 'Chevrolet', 'Borgoña', 'automatico', 'Continental'),
('111', '166', 'FBF-109', 'Maserati', 'Crema', 'automatico', 'Continental'),
('112', '3289', 'YTK-453', 'Alfa Romeo', 'Violeta', 'estandar', 'Dunlop'),
('113', '1898', 'BCZ-428', 'Koenigsegg', 'Crema', 'estandar', 'Brigdestone'),
('114', '1323', 'PZY-257', 'Alfa Romeo', 'Violeta', 'automatico', 'Pirelli'),
('115', '783', 'ZUO-885', 'Mazda', 'Plateado', 'estandar', 'Michelin'),
('116', '1394', 'RSD-822', 'Maserati', 'Plateado', 'estandar', 'Continental'),
('117', '4714', 'PHX-630', 'Honda', 'Plateado', 'estandar', 'Michelin'),
('118', '2875', 'SBG-787', 'Kia', 'Violeta', 'automatico', 'Brigdestone'),
('119', '1153', 'DUU-223', 'Cadillac', 'Crema', 'estandar', 'Continental'),
('120', '4620', 'PSZ-870', 'Aston Martin', 'Cian', 'estandar', 'Pirelli'),
('121', '2812', 'ROR-548', 'Toyota', 'Plateado', 'estandar', 'Michelin'),
('122', '1422', 'IRS-073', 'Land Rover', 'Crema', 'estandar', 'Dunlop'),
('123', '4385', 'PNP-208', 'Ferrari', 'Plateado', 'automatico', 'Michelin'),
('124', '2401', 'GJY-700', 'BMW', 'Violeta', 'automatico', 'Pirelli'),
('125', '4472', 'KPI-826', 'Dodge', 'Crema', 'automatico', 'Brigdestone'),
('126', '4452', 'GCV-333', 'Maserati', 'Violeta', 'estandar', 'Pirelli'),
('127', '2097', 'AJT-422', 'Honda', 'Dorado', 'automatico', 'Continental'),
('128', '3608', 'EXD-480', 'Alfa Romeo', 'Dorado', 'automatico', 'Dunlop'),
('129', '5078', 'THF-713', 'Honda', 'Dorado', 'estandar', 'Michelin'),
('130', '1049', 'PNT-402', 'Ferrari', 'Dorado', 'estandar', 'Dunlop'),
('131', '4916', 'VID-730', 'Chrysler', 'Violeta', 'automatico', 'Pirelli'),
('132', '3643', 'YWP-217', 'Bentley', 'Plateado', 'automatico', 'Brigdestone'),
('133', '3010', 'YQZ-084', 'Dodge', 'Borgoña', 'automatico', 'Pirelli'),
('134', '2303', 'IMB-989', 'SSC', 'Plateado', 'automatico', 'Dunlop'),
('135', '3782', 'BVP-749', 'Maserati', 'Cian', 'automatico', 'Brigdestone'),
('136', '2599', 'XBU-941', 'BMW', 'Crema', 'automatico', 'Michelin'),
('137', '1764', 'OMK-312', 'Kia', 'Borgoña', 'automatico', 'Continental'),
('138', '4346', 'ODA-556', 'BMW', 'Cian', 'automatico', 'Michelin'),
('139', '2153', 'KJM-182', 'Maserati', 'Dorado', 'estandar', 'Continental'),
('140', '686', 'CHF-671', 'Ferrari', 'Violeta', 'automatico', 'Brigdestone'),
('141', '2893', 'JWY-079', 'Audi', 'Dorado', 'estandar', 'Continental'),
('142', '392', 'AKB-690', 'Jaguar', 'Plateado', 'automatico', 'Continental'),
('143', '40', 'LGR-161', 'Dodge', 'Borgoña', 'automatico', 'Continental'),
('144', '3161', 'JDI-210', 'Bentley', 'Cian', 'automatico', 'Dunlop'),
('145', '1773', 'URY-665', 'Tesla', 'Cian', 'automatico', 'Continental'),
('146', '1251', 'GHJ-144', 'Chrysler', 'Cian', 'automatico', 'Dunlop'),
('147', '1325', 'RKH-282', 'Aston Martin', 'Plateado', 'automatico', 'Pirelli'),
('148', '2035', 'WRQ-634', 'Mercedes-Benz', 'Cian', 'automatico', 'Continental'),
('149', '3066', 'CMQ-108', 'Cadillac', 'Crema', 'automatico', 'Dunlop'),
('150', '3917', 'TBK-043', 'Dodge', 'Violeta', 'estandar', 'Michelin'),
('151', '194', 'TFY-825', 'Toyota', 'Violeta', 'estandar', 'Continental'),
('152', '3480', 'OIC-536', 'Honda', 'Dorado', 'automatico', 'Dunlop'),
('153', '2604', 'UEU-298', 'Mazda', 'Crema', 'estandar', 'Dunlop'),
('154', '1280', 'WTZ-038', 'BMW', 'Borgoña', 'estandar', 'Pirelli'),
('155', '3099', 'FWX-992', 'Chrysler', 'Crema', 'automatico', 'Continental'),
('156', '2777', 'LYO-343', 'Land Rover', 'Crema', 'automatico', 'Pirelli'),
('157', '1256', 'QAY-301', 'Alfa Romeo', 'Plateado', 'automatico', 'Dunlop'),
('158', '533', 'QMP-899', 'Hyundai', 'Borgoña', 'estandar', 'Michelin'),
('159', '730', 'JDX-824', 'Mercedes-Benz', 'Borgoña', 'automatico', 'Dunlop'),
('160', '408', 'JXG-489', 'Peugeot', 'Crema', 'estandar', 'Dunlop'),
('161', '2251', 'SBZ-103', 'Tesla', 'Borgoña', 'automatico', 'Dunlop'),
('162', '3049', 'PZC-901', 'Cadillac', 'Violeta', 'automatico', 'Pirelli'),
('163', '1316', 'LJW-592', 'Koenigsegg', 'Cian', 'automatico', 'Continental'),
('164', '4071', 'LRF-500', 'BMW', 'Crema', 'automatico', 'Brigdestone'),
('165', '2616', 'QTC-964', 'Porsche', 'Crema', 'estandar', 'Dunlop'),
('166', '1595', 'LOM-642', 'Cadillac', 'Violeta', 'estandar', 'Michelin'),
('167', '1326', 'SWP-024', 'Dodge', 'Borgoña', 'automatico', 'Continental'),
('168', '4961', 'TBQ-314', 'Koenigsegg', 'Violeta', 'estandar', 'Continental'),
('169', '753', 'RNP-302', 'Porsche', 'Dorado', 'estandar', 'Brigdestone'),
('170', '235', 'JCY-296', 'Porsche', 'Borgoña', 'automatico', 'Pirelli'),
('171', '4154', 'ERJ-103', 'Maserati', 'Violeta', 'automatico', 'Dunlop'),
('172', '832', 'EMA-168', 'Audi', 'Crema', 'estandar', 'Dunlop'),
('173', '4721', 'SQB-718', 'Aston Martin', 'Violeta', 'automatico', 'Michelin'),
('174', '1736', 'PXV-558', 'Audi', 'Borgoña', 'automatico', 'Pirelli'),
('175', '4896', 'UHI-983', 'Lamborguini', 'Borgoña', 'estandar', 'Brigdestone'),
('176', '1282', 'FQY-829', 'Dodge', 'Violeta', 'automatico', 'Continental'),
('177', '4148', 'FSM-298', 'Porsche', 'Cian', 'estandar', 'Brigdestone'),
('178', '3361', 'YJZ-248', 'Honda', 'Violeta', 'automatico', 'Pirelli'),
('179', '3069', 'TAU-624', 'Mercedes-Benz', 'Borgoña', 'estandar', 'Continental'),
('180', '1939', 'KSN-266', 'Rimac', 'Borgoña', 'automatico', 'Pirelli'),
('181', '1388', 'RHD-718', 'Maserati', 'Crema', 'estandar', 'Pirelli'),
('182', '3825', 'CJV-992', 'Alfa Romeo', 'Cian', 'automatico', 'Dunlop'),
('183', '4069', 'HYI-706', 'Porsche', 'Cian', 'estandar', 'Dunlop'),
('184', '2316', 'EAM-679', 'Rimac', 'Violeta', 'automatico', 'Dunlop'),
('185', '4244', 'GOK-883', 'Peugeot', 'Borgoña', 'estandar', 'Michelin'),
('186', '3014', 'USD-923', 'Volkswagen', 'Borgoña', 'automatico', 'Continental'),
('187', '2034', 'PFW-272', 'Mazda', 'Crema', 'automatico', 'Dunlop'),
('188', '3457', 'EJV-213', 'Mazda', 'Plateado', 'automatico', 'Brigdestone'),
('189', '5075', 'EUK-869', 'Renault', 'Violeta', 'automatico', 'Continental'),
('190', '1713', 'VMK-434', 'Subaru', 'Cian', 'automatico', 'Pirelli'),
('191', '2566', 'VLQ-556', 'Peugeot', 'Plateado', 'automatico', 'Pirelli'),
('192', '888', 'WWQ-103', 'SSC', 'Dorado', 'automatico', 'Michelin'),
('193', '4742', 'DOJ-787', 'Maserati', 'Dorado', 'automatico', 'Brigdestone'),
('194', '4590', 'RGM-716', 'Subaru', 'Crema', 'estandar', 'Pirelli'),
('195', '4831', 'GBO-292', 'Volkswagen', 'Violeta', 'estandar', 'Michelin'),
('196', '312', 'ATJ-325', 'Koenigsegg', 'Violeta', 'automatico', 'Pirelli'),
('197', '2887', 'ZTW-223', 'Nissan', 'Crema', 'automatico', 'Continental'),
('198', '1928', 'CLT-085', 'Koenigsegg', 'Plateado', 'estandar', 'Michelin'),
('199', '2817', 'NJC-697', 'Chrysler', 'Dorado', 'automatico', 'Dunlop'),
('200', '5095', 'BWI-606', 'Maserati', 'Violeta', 'automatico', 'Brigdestone'),
('201', '2593', 'JLS-696', 'Maserati', 'Violeta', 'estandar', 'Dunlop'),
('202', '29', 'FKK-030', 'SSC', 'Borgoña', 'automatico', 'Pirelli'),
('203', '302', 'LIU-246', 'Bentley', 'Dorado', 'automatico', 'Dunlop'),
('204', '3440', 'HTY-974', 'Porsche', 'Borgoña', 'automatico', 'Continental'),
('205', '3313', 'WCF-705', 'Dodge', 'Borgoña', 'estandar', 'Michelin'),
('206', '685', 'YLJ-648', 'Maserati', 'Dorado', 'automatico', 'Pirelli'),
('207', '2457', 'NKE-760', 'Peugeot', 'Violeta', 'automatico', 'Continental'),
('208', '1538', 'GMX-847', 'Cadillac', 'Borgoña', 'automatico', 'Pirelli'),
('209', '3355', 'ZNG-680', 'Volkswagen', 'Borgoña', 'estandar', 'Continental'),
('210', '4100', 'LYR-003', 'Nissan', 'Crema', 'automatico', 'Dunlop'),
('211', '4681', 'QRU-648', 'Dodge', 'Plateado', 'automatico', 'Michelin'),
('212', '4478', 'OCF-856', 'Rimac', 'Cian', 'automatico', 'Michelin'),
('213', '165', 'UVN-292', 'Rimac', 'Cian', 'estandar', 'Pirelli'),
('214', '4461', 'MFZ-483', 'Honda', 'Dorado', 'estandar', 'Continental'),
('215', '2417', 'ZQW-563', 'Maserati', 'Plateado', 'estandar', 'Michelin'),
('216', '1751', 'IPV-113', 'Kia', 'Violeta', 'estandar', 'Brigdestone'),
('217', '1173', 'IJV-931', 'Kia', 'Violeta', 'estandar', 'Continental'),
('218', '4504', 'UVZ-355', 'Koenigsegg', 'Plateado', 'estandar', 'Dunlop'),
('219', '1761', 'ZXG-011', 'Subaru', 'Cian', 'automatico', 'Pirelli'),
('220', '3375', 'SCN-083', 'Aston Martin', 'Borgoña', 'automatico', 'Continental'),
('221', '1549', 'WLS-523', 'Peugeot', 'Borgoña', 'estandar', 'Dunlop'),
('222', '1311', 'DOD-493', 'Subaru', 'Cian', 'automatico', 'Dunlop'),
('223', '2225', 'ZYR-838', 'SSC', 'Dorado', 'automatico', 'Continental'),
('224', '628', 'RSD-290', 'SSC', 'Dorado', 'automatico', 'Dunlop'),
('225', '3196', 'NBG-571', 'Jeep', 'Crema', 'automatico', 'Continental'),
('226', '3889', 'WFD-331', 'Audi', 'Cian', 'estandar', 'Brigdestone'),
('227', '1436', 'QLN-888', 'Hyundai', 'Cian', 'estandar', 'Michelin'),
('228', '4405', 'LYC-607', 'Koenigsegg', 'Violeta', 'estandar', 'Continental'),
('229', '3425', 'GBV-073', 'Land Rover', 'Violeta', 'estandar', 'Continental'),
('230', '304', 'KAQ-195', 'Mazda', 'Borgoña', 'estandar', 'Michelin'),
('231', '4329', 'AAQ-160', 'Tesla', 'Dorado', 'estandar', 'Brigdestone'),
('232', '1456', 'BHJ-041', 'Mazda', 'Dorado', 'automatico', 'Dunlop'),
('233', '3073', 'CNM-130', 'Chrysler', 'Dorado', 'automatico', 'Michelin'),
('234', '1152', 'ASP-296', 'Tesla', 'Cian', 'estandar', 'Dunlop'),
('235', '1376', 'NJN-610', 'Kia', 'Dorado', 'automatico', 'Brigdestone'),
('236', '321', 'PRD-411', 'Lamborguini', 'Plateado', 'automatico', 'Pirelli'),
('237', '4867', 'UBY-287', 'BMW', 'Borgoña', 'automatico', 'Michelin'),
('238', '2176', 'DLI-888', 'SSC', 'Crema', 'automatico', 'Michelin'),
('239', '4850', 'POH-687', 'Dodge', 'Dorado', 'automatico', 'Pirelli'),
('240', '4038', 'UMC-278', 'Porsche', 'Dorado', 'estandar', 'Brigdestone'),
('241', '92', 'LBK-069', 'Rimac', 'Borgoña', 'automatico', 'Pirelli'),
('242', '3656', 'MBV-501', 'Ferrari', 'Crema', 'estandar', 'Continental'),
('243', '3959', 'OXS-582', 'Maserati', 'Crema', 'estandar', 'Dunlop'),
('244', '1525', 'RYW-273', 'Lamborguini', 'Cian', 'estandar', 'Michelin'),
('245', '4786', 'NWN-170', 'Renault', 'Violeta', 'estandar', 'Pirelli'),
('246', '2873', 'ISC-882', 'Mercedes-Benz', 'Borgoña', 'estandar', 'Pirelli'),
('247', '1973', 'WDB-434', 'Jaguar', 'Plateado', 'estandar', 'Dunlop'),
('248', '3097', 'LSN-604', 'Peugeot', 'Plateado', 'automatico', 'Continental'),
('249', '3820', 'CJA-121', 'Subaru', 'Plateado', 'automatico', 'Michelin'),
('250', '4074', 'YGF-761', 'Koenigsegg', 'Violeta', 'automatico', 'Michelin'),
('251', '3027', 'KOV-762', 'Chevrolet', 'Borgoña', 'estandar', 'Brigdestone'),
('252', '2378', 'TIO-304', 'Land Rover', 'Dorado', 'estandar', 'Brigdestone'),
('253', '3437', 'HBL-650', 'Aston Martin', 'Crema', 'automatico', 'Brigdestone'),
('254', '1729', 'KHJ-543', 'Mercedes-Benz', 'Crema', 'estandar', 'Continental'),
('255', '1131', 'EBL-459', 'Subaru', 'Crema', 'automatico', 'Pirelli'),
('256', '2988', 'PEX-665', 'Chevrolet', 'Dorado', 'automatico', 'Dunlop'),
('257', '2111', 'ZMS-250', 'Alfa Romeo', 'Cian', 'automatico', 'Michelin'),
('258', '3403', 'TRJ-825', 'Maserati', 'Plateado', 'estandar', 'Brigdestone'),
('259', '1450', 'WEV-727', 'Peugeot', 'Cian', 'estandar', 'Dunlop'),
('260', '844', 'DKT-141', 'BMW', 'Plateado', 'automatico', 'Continental'),
('261', '1618', 'MWS-001', 'Aston Martin', 'Plateado', 'estandar', 'Continental'),
('262', '4029', 'GYU-520', 'Aston Martin', 'Violeta', 'automatico', 'Michelin'),
('263', '1290', 'IHA-769', 'Dodge', 'Violeta', 'automatico', 'Continental'),
('264', '324', 'JOG-935', 'Maserati', 'Plateado', 'estandar', 'Continental'),
('265', '3988', 'RID-932', 'Honda', 'Dorado', 'automatico', 'Pirelli'),
('266', '2421', 'LVL-242', 'Land Rover', 'Borgoña', 'automatico', 'Continental'),
('267', '3866', 'XGN-016', 'Chevrolet', 'Cian', 'estandar', 'Michelin'),
('268', '1951', 'VDP-457', 'Chevrolet', 'Cian', 'estandar', 'Pirelli'),
('269', '2589', 'ELY-868', 'SSC', 'Borgoña', 'estandar', 'Continental'),
('270', '24', 'MVE-406', 'Renault', 'Dorado', 'estandar', 'Brigdestone'),
('271', '277', 'IWL-897', 'Peugeot', 'Crema', 'automatico', 'Continental'),
('272', '1252', 'GZM-274', 'Mercedes-Benz', 'Plateado', 'estandar', 'Pirelli'),
('273', '536', 'EXK-212', 'Mazda', 'Dorado', 'automatico', 'Continental'),
('274', '238', 'QOE-467', 'Koenigsegg', 'Crema', 'estandar', 'Dunlop'),
('275', '4967', 'EQJ-917', 'Ferrari', 'Cian', 'automatico', 'Brigdestone'),
('276', '3193', 'CPQ-719', 'Alfa Romeo', 'Dorado', 'estandar', 'Pirelli'),
('277', '255', 'HXS-404', 'Tesla', 'Cian', 'automatico', 'Continental'),
('278', '3504', 'UOS-313', 'Hyundai', 'Cian', 'automatico', 'Continental'),
('279', '4733', 'GKJ-370', 'Maserati', 'Cian', 'automatico', 'Dunlop'),
('280', '3638', 'MTJ-561', 'Toyota', 'Plateado', 'automatico', 'Michelin'),
('281', '3902', 'HUZ-894', 'Toyota', 'Dorado', 'estandar', 'Michelin'),
('282', '3762', 'RDR-382', 'Cadillac', 'Borgoña', 'automatico', 'Brigdestone'),
('283', '1695', 'XCT-968', 'Rimac', 'Borgoña', 'automatico', 'Michelin'),
('284', '1636', 'OXE-772', 'Dodge', 'Plateado', 'automatico', 'Michelin'),
('285', '2265', 'TOY-327', 'Kia', 'Violeta', 'automatico', 'Dunlop'),
('286', '1493', 'RIV-036', 'Chrysler', 'Dorado', 'estandar', 'Continental'),
('287', '2132', 'MPP-107', 'Jeep', 'Crema', 'automatico', 'Continental'),
('288', '1994', 'GEC-667', 'Lamborguini', 'Plateado', 'automatico', 'Dunlop'),
('289', '2678', 'IQX-223', 'Koenigsegg', 'Plateado', 'estandar', 'Dunlop'),
('290', '2967', 'JSS-192', 'Land Rover', 'Borgoña', 'estandar', 'Pirelli'),
('291', '420', 'VIC-263', 'Nissan', 'Borgoña', 'automatico', 'Continental'),
('292', '36', 'LYE-441', 'Tesla', 'Dorado', 'estandar', 'Dunlop'),
('293', '4355', 'RPL-041', 'Aston Martin', 'Plateado', 'automatico', 'Continental'),
('294', '713', 'EWA-177', 'Rimac', 'Violeta', 'estandar', 'Michelin'),
('295', '2609', 'HJQ-403', 'Hyundai', 'Dorado', 'automatico', 'Brigdestone'),
('296', '2590', 'OXP-166', 'Renault', 'Violeta', 'automatico', 'Brigdestone'),
('297', '1457', 'KCK-269', 'Renault', 'Cian', 'automatico', 'Brigdestone'),
('298', '4265', 'YRD-194', 'Mazda', 'Crema', 'automatico', 'Continental'),
('299', '1067', 'JYF-145', 'Mazda', 'Crema', 'estandar', 'Continental'),
('300', '1250', 'LTU-950', 'Chevrolet', 'Dorado', 'automatico', 'Continental'),
('301', '2725', 'ZPV-447', 'Porsche', 'Cian', 'automatico', 'Dunlop'),
('302', '3626', 'GKN-047', 'Porsche', 'Plateado', 'estandar', 'Dunlop'),
('303', '5015', 'NKY-761', 'Bentley', 'Violeta', 'automatico', 'Pirelli'),
('304', '4563', 'JKY-679', 'Chevrolet', 'Borgoña', 'estandar', 'Pirelli'),
('305', '775', 'XPG-301', 'Rimac', 'Dorado', 'automatico', 'Michelin'),
('306', '1160', 'LSG-995', 'Audi', 'Borgoña', 'automatico', 'Michelin'),
('307', '4463', 'IGZ-545', 'Toyota', 'Crema', 'estandar', 'Michelin'),
